epoch,acc,loss,val_acc,val_loss
0,0.9016508676092545,0.24061334575586271,0.72293814432989689,0.98606142801107821
1,0.95175931876606679,0.13385419721851619,0.96496456185567014,0.10726638338000503
2,0.96519521208226222,0.10026011809438544,0.94901739690721654,0.14294714292453736
3,0.96800690874035988,0.092013696294785466,0.91688144329896903,0.22939263361016499
4,0.97154161311053988,0.081933051500957851,0.9744684278350515,0.073567094434936017
5,0.97495581619537275,0.073732029043310401,0.91309600515463918,0.20511227661801368
6,0.97772734575835474,0.064349475481899357,0.97438788659793818,0.073881200428322413
7,0.97828968508997427,0.063651331077906798,0.97293814432989689,0.075501975997053467
8,0.97895244215938304,0.05794864099060968,0.96480347938144329,0.10098646423712219
9,0.98128213367609252,0.053612766156552458,0.92557989690721654,0.17855981775780314
10,0.98310973650385602,0.049975285414309456,0.97366301546391754,0.075202091193767556
11,0.98250723007712082,0.051785304725821345,0.97624033505154639,0.072293515701192551
12,0.98323023778920304,0.04842330300869243,0.97422680412371132,0.076086238986745325
13,0.98367207583547556,0.048314288245384751,0.94603737113402064,0.13007536065793529
14,0.98399341259640105,0.045447541138631288,0.97237435567010311,0.083230514943446077
15,0.98608210154241649,0.040161619802031923,0.967541881443299,0.084919341753438571
16,0.98652393958868889,0.039669517670688638,0.57997744845360821,2.4520106819487109
17,0.98678502570694082,0.0389479980720231,0.96085695876288657,0.11784230737668491
18,0.98700594473007708,0.038218438005252028,0.97913981958762886,0.059747254706381522
19,0.98801012210796912,0.035187248579899189,0.98373067010309279,0.046713142494968683
20,0.98794987146529567,0.034156770857797988,0.97704574742268047,0.071485936540879841
21,0.98786953727506421,0.035502045419531607,0.97648195876288657,0.075017099656385478
22,0.98861262853470433,0.032628529192161554,0.96834729381443296,0.10937535926968474
23,0.99122348971722363,0.026235203914689066,0.97922036082474229,0.055473771771972942
24,0.98849212724935731,0.032348117177616473,0.94877577319587625,0.13675198753930859
25,0.99070131748071977,0.027826520607143565,0.97559600515463918,0.074232846287261581
26,0.99044023136246784,0.027671072295098385,0.97011920103092786,0.11007379404192348
27,0.99164524421593825,0.025804215201815941,0.969958118556701,0.10999121680704531
28,0.99088206940874035,0.02648283927707399,0.98220038659793818,0.054234693038094903
29,0.99140424164524421,0.024598648412222555,0.97221327319587625,0.09774586528097999
