epoch,acc,loss,val_acc,val_loss
0,0.94419644980917383,0.15628729394039304,0.94708328164646471,0.14754510280245703
1,0.97270370614019142,0.087053739682566314,0.98007177551027758,0.065998838849546965
2,0.97851649624684045,0.071118477552981813,0.78289887114462564,0.49194575520888179
3,0.9814228904158856,0.063625906888528455,0.97604104300314576,0.072604406095573754
4,0.98316220601764681,0.05926609337290388,0.98067612967021034,0.064025235792834229
5,0.98403398287839494,0.05707993806566463,0.98411275078178828,0.057633008106722568
6,0.98452285693248476,0.05546772154854069,0.98566460815495627,0.055865959563649113
7,0.98531974776816089,0.053742664486185608,0.98137779615905307,0.060776654742992028
8,0.98562776743418246,0.052914467714240042,0.98519341718219455,0.055497555301862171
9,0.98604458105180925,0.052166384130621579,0.9804098025326845,0.067359969442025797
10,0.98660975307257759,0.050807065805482783,0.95914474881412737,0.11519716682673341
11,0.98616750574667766,0.051360618263214607,0.92101924985685357,0.18456382635937915
12,0.98680756320299845,0.049840077686777222,0.97842260886093413,0.073813368362421111
13,0.98679767192694379,0.049852868872035078,0.96503463658419519,0.10519734588684217
14,0.98683299579539507,0.049954399586918705,0.98366717065036979,0.057456217753902437
15,0.98668181121412502,0.049764085806450926,0.98690916794362971,0.051923019336906191
16,0.98716079481327668,0.04889034579634003,0.98761083298242347,0.050528794059603831
17,0.98707460533894653,0.048912033239653888,0.99014092361728601,0.046156269370574654
18,0.98702939291044156,0.048712196936867062,0.9831601279035268,0.057854242439211258
19,0.98704069541225747,0.049413750340937729,0.98428176452194682,0.056470572950840757
20,0.98761434535683779,0.047842550010518084,0.98502952570188673,0.056045324063446089
21,0.98782769692992622,0.046995250975330867,0.96881952984842845,0.099413992472174223
22,0.98745044485834621,0.047962132044247062,0.98831249931862963,0.047474133262169878
23,0.9876666234306799,0.047725883790192165,0.87462743990857839,0.44859428607194507
24,0.98757054404882272,0.047484529486267503,0.98646358636216225,0.054051908156411213
25,0.98744479340742264,0.048001436901869955,0.95364922666671792,0.1509244074274651
26,0.98787149756420467,0.04708385892332137,0.98268893471753249,0.05788431166720108
27,0.98788138793492564,0.047227461008122765,0.97554936489894051,0.078081076878877817
