,filename_record,support0,support1,acc01_frm,p1_frm,r1_frm,f1_frm,fp_rate,fn_rate,boundary_win,p1_sbr,r1_sbr,f1_sbr,r2e_deviation1,e2r_deviation1,p01_sbr,r01_sbr,f01_sbr,r2e_deviation01,e2r_deviation01,p_pairwise,r_pairwise,f_pairwise,nce_over,nce_under,nce_f,rand_index,adjrand_index,mutual_info,adjmutual_info,normmutual_info
0,2011/Ahfat01,2091,254,0.845628997868,0.405923344948,0.917322834646,0.562801932367,0.163079866093,0.0826771653543,0.510839002268,0.421052631579,0.695652173913,0.524590163934,0.090465,0.618435,0.428571428571,0.702127659574,0.532258064516,0.08491,0.59169,0.932843395668,0.728548495442,0.818135270834,0.38314126978,0.691249242176,0.493016476662,0.738716298203,0.378273395054,0.129066747926,0.231571933496,0.295346242188
1,2011/Ahfat03,1064,2514,0.905254332029,0.910222557525,0.959824980111,0.934365924492,0.223684210526,0.0401750198886,0.406349206349,0.975877192982,0.62676056338,0.763293310463,0.066925,0.037995,0.975982532751,0.627808988764,0.764102564103,0.06682,0.037865,0.833127624751,0.881808151599,0.856776960349,0.601149404076,0.548383214238,0.573555264448,0.828371230813,0.643117198927,0.295415957307,0.485401568551,0.500805097679
2,2011/Ahfat04,1725,3009,0.902619349387,0.89151813153,0.964107676969,0.926393102347,0.204637681159,0.0358923230309,0.568888888889,0.923295454545,0.479351032448,0.631067961165,0.31885,0.04311,0.923728813559,0.480882352941,0.63249516441,0.31749,0.04293,0.816443435649,0.867359413,0.841131608324,0.591753739496,0.541621590699,0.565578927208,0.824134389234,0.644598831364,0.338101218005,0.515457705476,0.529761529526
3,2011/Chon01,356,2037,0.868366067697,0.887837837838,0.967599410898,0.92600422833,0.699438202247,0.0324005891016,0.568888888889,0.978260869565,0.371900826446,0.538922155689,0.529395,0.042195,0.978494623656,0.374485596708,0.541666666667,0.52715,0.041475,0.799105737518,0.92675875181,0.858211337502,0.693787534539,0.460934950546,0.553883598965,0.771210391812,0.282503578063,0.0462921055531,0.109787930672,0.140490057927
4,2011/Chon02,2874,775,0.672513017265,0.386731391586,0.925161290323,0.545454545455,0.395615866388,0.0748387096774,0.487619047619,0.468137254902,0.723484848485,0.568452380952,0.176385,0.30372,0.470731707317,0.725563909774,0.57100591716,0.17241,0.30207,0.724623367283,0.544595217818,0.621841541203,0.155801317249,0.409475492441,0.225718869092,0.559338755959,0.118678563021,0.107857979716,0.155469401768,0.180161401035
5,2011/Chon03,1791,1562,0.827915299732,0.764075067024,0.912291933419,0.831631164284,0.245672808487,0.0877080665813,0.429569160998,0.862857142857,0.496710526316,0.630480167015,0.20564,0.052795,0.863636363636,0.498360655738,0.632016632017,0.204325,0.05235,0.714405908363,0.720162351753,0.717272580716,0.370548112744,0.364695349148,0.367598436049,0.714904502556,0.429778337301,0.250472467421,0.362428616935,0.363635619482
6,2011/Chon04,1702,2663,0.886827033219,0.874611398964,0.95080736012,0.911119107593,0.213278495887,0.0491926398798,0.510839002268,0.96174863388,0.488888888889,0.648250460405,0.18128,0.038885,0.961956521739,0.490304709141,0.649541284404,0.17902,0.038765,0.792229089947,0.836205136241,0.813623324099,0.535802082367,0.492689964911,0.513342441216,0.79918416532,0.596287023515,0.317009064159,0.47401326715,0.485066531621
7,2011/Chon05,1225,2952,0.846061766818,0.849319213313,0.950880758808,0.897235096692,0.406530612245,0.0491192411924,0.452789115646,0.894607843137,0.546407185629,0.67843866171,0.139695,0.044875,0.89512195122,0.54776119403,0.67962962963,0.13861,0.04427,0.742554949737,0.849423959161,0.792402414096,0.514475932456,0.38052525072,0.437476702528,0.739404065432,0.44667437965,0.175519945278,0.290019518868,0.315371088299
8,2011/Chon06,1765,4301,0.934058687768,0.939598828037,0.969309462916,0.95422293431,0.151841359773,0.0306905370844,0.499229024943,0.807692307692,0.396226415094,0.53164556962,0.60827,0.05084,0.809160305344,0.398496240602,0.534005037783,0.59843,0.05028,0.88224915643,0.91193984586,0.896848836659,0.680931051852,0.650311534086,0.665269157724,0.876774694547,0.743952245069,0.360524659834,0.597919022538,0.608785349073
9,2011/Chon07,359,2764,0.938520653218,0.941620879121,0.992040520984,0.966173361522,0.473537604457,0.00795947901592,0.499229024943,0.788888888889,0.25,0.379679144385,1.77455,0.04745,0.79347826087,0.255244755245,0.386243386243,1.757645,0.047345,0.889615926913,0.976229977109,0.930912605478,0.826275479975,0.668063535697,0.738794226508,0.884529199297,0.584097372625,0.126088412478,0.353719912216,0.425533781311
10,2011/Chon08,1057,2770,0.895479487849,0.900067521945,0.962454873646,0.930216329379,0.280037842952,0.0375451263538,0.441179138322,0.926470588235,0.391791044776,0.550699300699,0.462395,0.035995,0.926900584795,0.393300248139,0.552264808362,0.460015,0.03595,0.817535603294,0.885653006929,0.850232159824,0.596590845775,0.517298049189,0.554122196709,0.812715886145,0.601418385111,0.254558225099,0.431957065767,0.453767486598
11,2011/Chon09,3548,2665,0.883309190407,0.809706257982,0.951594746717,0.874935311368,0.167981961669,0.0484052532833,0.568888888889,0.809954751131,0.520348837209,0.633628318584,0.16976,0.05153,0.810810810811,0.521739130435,0.634920634921,0.16893,0.05148,0.803818241653,0.787984299816,0.795822519222,0.507097832036,0.521638364086,0.514265337473,0.793789874704,0.587580499419,0.351458396192,0.507015652919,0.510800358433
12,2011/Chon10,2401,696,0.91443332257,0.761212121212,0.902298850575,0.82577251808,0.0820491461891,0.0977011494253,0.348299319728,0.609756097561,0.5,0.549450549451,0.142105,0.0989,0.614457831325,0.50495049505,0.554347826087,0.13762,0.09098,0.906248018413,0.847245454487,0.875754060229,0.578790070517,0.646300953712,0.610685356722,0.8434135661,0.664713407734,0.287758553642,0.496235411325,0.517710298231
13,2011/Chon11,1659,8994,0.932413404675,0.944170066566,0.97776295308,0.960672929867,0.313441832429,0.0222370469202,0.464399092971,0.857142857143,0.395604395604,0.541353383459,0.70009,0.05281,0.857707509881,0.396709323583,0.5425,0.69536,0.05252,0.891551568828,0.943786913334,0.916925909199,0.730450420347,0.651921130682,0.688955243017,0.873939896162,0.656567699463,0.191118351946,0.441945728273,0.472764546621
14,2011/Colafelice01,1610,669,0.82229047828,0.634419551935,0.931240657698,0.754694124773,0.22298136646,0.0687593423019,0.464399092971,0.656779661017,0.610236220472,0.632653061224,0.09823,0.08894,0.659663865546,0.61328125,0.635627530364,0.096465,0.08609,0.787136280115,0.685311670694,0.732703222403,0.352983178143,0.465807966767,0.401622263591,0.707513351633,0.413175231888,0.235139018793,0.343752257692,0.36550433647
15,2011/Colafelice02,1410,1333,0.797302223843,0.73417721519,0.913728432108,0.814171122995,0.312765957447,0.086271567892,0.54566893424,0.911392405063,0.527472527473,0.668213457077,0.172485,0.05911,0.911949685535,0.529197080292,0.66974595843,0.168615,0.057595,0.669358876696,0.698380711108,0.68356188921,0.333202571764,0.301687148587,0.316662659845,0.676571371701,0.353131311473,0.208729431354,0.301115839004,0.306165717865
16,2011/Colafelice03,1543,5377,0.862427745665,0.870045158053,0.967453970616,0.916167664671,0.50356448477,0.0325460293844,0.487619047619,0.910211267606,0.402021772939,0.557713052859,0.425595,0.043805,0.910526315789,0.402950310559,0.558665231432,0.425305,0.043475,0.772210833864,0.903858488572,0.832864497682,0.616411403584,0.424595244961,0.502831276375,0.762854199261,0.433314286505,0.131488954377,0.247835811419,0.286429488522
17,2011/Colafelice04,758,823,0.790006325111,0.774301675978,0.842041312272,0.806752037253,0.266490765172,0.157958687728,0.487619047619,0.90243902439,0.443113772455,0.59437751004,0.13884,0.04552,0.903614457831,0.446428571429,0.597609561753,0.1345,0.045365,0.665577336896,0.676168603729,0.67083116846,0.27118307207,0.259661420884,0.265297211323,0.667842970635,0.335673342854,0.179110871545,0.258388779543,0.2602335231
18,2011/Colafelice05,1082,1238,0.92974137931,0.92828685259,0.941033925687,0.934616927397,0.083179297597,0.0589660743134,0.429569160998,0.975961538462,0.485645933014,0.648562300319,0.12007,0.03458,0.97619047619,0.488095238095,0.650793650794,0.117415,0.03376,0.868978949291,0.870883764635,0.869930314259,0.6346156367,0.633025530759,0.63381958643,0.86924684519,0.738486786435,0.436486354922,0.63169222151,0.632311834795
